City,Category,Sub-Category,Product,SKU ID,Image,Brand,SKU Name,SKU Size,MRP,Selling Price,Item Link,In Stock,Out of Stock,Rating,Price
,BEVERAGES,TEA,LEAF & DUST TEA,137936,https://www.bigbasket.com/media/uploads/p/l/137936_11-taj-mahal-tea.jpg,Taj Mahal,"Taj Mahal Tea, 1 Kg Carton",1 Kg Carton,Rs 825,Rs 735,https://www.bigbasket.com/pd/137936/taj-mahal-tea-1-kg-carton/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4,₹580
,BEVERAGES,TEA,TEA BAGS,240040,https://www.bigbasket.com/media/uploads/p/l/240040_6-tetley-black-tea-original.jpg,Tetley,Tetley Black Tea,200 g (100 bags x 1.7 g each),Rs 210,Rs 174.72,https://www.bigbasket.com/pd/240040/tetley-black-tea-original-200-g/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.3,₹168
,BEVERAGES,TEA,TEA BAGS,297467,https://www.bigbasket.com/media/uploads/p/l/297467_9-tetley-masala-tea.jpg,Tetley,Tetley Masala Tea,100 g (50 Bags x 2 g each),Rs 310,Rs 279,https://www.bigbasket.com/pd/297467/tetley-masala-tea-100-g/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.3,₹294.5
,BEVERAGES,TEA,TEA BAGS,297511,https://www.bigbasket.com/media/uploads/p/l/297511_7-tetley-elaichi-tea.jpg,Tetley,Tetley Elaichi Tea,100 g (50 Bags x 2 g each),Rs 310,Rs 279,https://www.bigbasket.com/pd/297511/tetley-elaichi-tea-100-g/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.3,₹294.5
,BEVERAGES,TEA,TEA BAGS,40255218,https://www.bigbasket.com/media/uploads/p/l/40255218_1-tata-tea-gold-fine-long-leaf-tea-black-tea-from-darjeeling-relaxing-energising.jpg,Tata Tea Gold,Tata Tea Gold Darjeeling,200 g Box,Rs 340,Rs 299.20,https://www.bigbasket.com/pd/40255218/tata-tea-gold-fine-long-leaf-tea-black-tea-from-darjeeling-relaxing-energising-200-g-box/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.3,₹299.2
,BEVERAGES,TEA,EXOTIC & FLAVOURED TEA,40299315,https://www.bigbasket.com/media/uploads/p/l/40299315_1-jawai-rajwadi-masala-milk-instant-premix.jpg,Jawai,"Jawai Rajwadi Masala Milk Instant Premix, 100 g",100 g,Rs 149,Rs 135,https://www.bigbasket.com/pd/40299315/jawai-rajwadi-masala-milk-instant-premix-100-g/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.3,₹199
,BEVERAGES,TEA,EXOTIC & FLAVOURED TEA,40299316,https://www.bigbasket.com/media/uploads/p/l/40299316_1-jawai-lemony-iced-tea-instant-premix.jpg,Jawai,"Jawai Lemony Iced Tea Instant Premix, 100 g",100 g,Rs 149,Rs 74,https://www.bigbasket.com/pd/40299316/jawai-lemony-iced-tea-instant-premix-100-g/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,5,₹140.06
,BEVERAGES,TEA,GREEN TEA,40077764,https://www.bigbasket.com/media/uploads/p/l/40077764_6-lipton-honey-lemon-green-tea.jpg,Lipton,"Lipton Honey Lemon Green Tea, 140 g (100 Bags x 1.4 g each)",140 g (100 Bags x 1.4 g each),Rs 625,Rs 531.25,https://www.bigbasket.com/pd/40077764/lipton-honey-lemon-green-tea-140-g/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.3,₹531.25
,BEVERAGES,TEA,GREEN TEA,20004601,https://www.bigbasket.com/media/uploads/p/l/20004601_3-tetley-green-tea-lemon-honey.jpg,Tetley,Tetley Green Tea,140 g (100 Bags x 1.4 g each),Rs 625,Rs 486.25,https://www.bigbasket.com/pd/20004601/tetley-green-tea-lemon-honey-150-g/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.3,₹475
,BEVERAGES,TEA,GREEN TEA,273497,https://www.bigbasket.com/media/uploads/p/l/273497_3-tetley-green-tea-ginger-mint-lemon.jpg,Tetley,Tetley Green Tea,140 g (100 Bags x 1.4 g each),Rs 625,Rs 486.25,https://www.bigbasket.com/pd/273497/tetley-green-tea-ginger-mint-lemon-150-g/?nc=l3category&t_pg=L3Categories&t_p=l3category&t_s=l3category&t_pos=3&t_ch=desktop,Yes,No,4.3,₹475
